,id,x,y,unique_squirrel_id,shift,date,age,primary_fur_color,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
0,1,-73.9561344937861,40.794082388408604,37F-PM-1014-03,PM,10142018,,,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
1,2,-73.9570437717691,40.7948509408039,37E-PM-1006-03,PM,10062018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
2,3,-73.9768311751004,40.766717807255795,2E-AM-1010-03,AM,10102018,Adult,Cinnamon,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False
3,4,-73.9757249834141,40.7697032606755,5D-PM-1018-05,PM,10182018,Juvenile,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,True
4,5,-73.9593126695714,40.797533370163,39B-AM-1018-01,AM,10182018,,,Above Ground,,False,False,False,False,False,unknown,True,False,False,False,False,False,False,False
5,6,-73.9565700386162,40.7902561000937,33H-AM-1019-02,AM,10192018,Juvenile,Gray,Ground Plane,,False,False,False,False,False,wrestling with mother,False,False,False,False,False,False,False,False
6,7,-73.9719735582476,40.769304513357795,6G-PM-1020-02,PM,10202018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False
7,8,-73.9602609920814,40.7942883045566,35C-PM-1013-03,PM,10132018,,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
8,9,-73.9770718586754,40.7729752391435,7B-AM-1008-09,AM,10082018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
9,10,-73.9596413903948,40.790312888902896,32E-PM-1017-14,PM,10172018,Adult,Gray,,,False,False,False,True,True,,False,False,False,False,False,False,False,True
10,11,-73.9702676472613,40.7762126854894,13E-AM-1017-05,AM,10172018,Adult,Gray,Above Ground,on tree stump,False,False,False,False,True,,False,False,False,False,False,False,False,False
11,12,-73.96836135162249,40.772590884749896,11H-AM-1010-03,AM,10102018,Adult,Cinnamon,,,False,False,False,False,True,,False,False,False,False,True,False,True,False
12,13,-73.95412017897951,40.793181170108205,36H-AM-1010-02,AM,10102018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False
13,14,-73.9582694312289,40.7917367820255,33F-AM-1008-02,AM,10082018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
14,15,-73.9674285955293,40.7829723919744,21C-PM-1006-01,PM,10062018,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,True,True,False,False,False
15,16,-73.97225001968441,40.7742879599026,11D-AM-1010-03,AM,10102018,Adult,Gray,Above Ground,,False,False,True,False,False,grooming,False,False,False,False,False,False,True,False
16,17,-73.96950635353329,40.7823507678183,20B-PM-1013-05,PM,10132018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
17,18,-73.9532170504865,40.7919669739962,36I-PM-1007-01,PM,10072018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
18,19,-73.9768603630674,40.7702795904962,5C-PM-1010-09,PM,10102018,Adult,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False
19,20,-73.9706105896967,40.769812482150705,7H-AM-1006-05,AM,10062018,Adult,Gray,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,True,False
20,21,-73.9703781726172,40.778752613032104,16C-PM-1018-03,PM,10182018,Adult,Gray,Above Ground,,True,False,False,True,True,,False,False,False,False,False,False,True,False
21,22,-73.9703925210471,40.7765032004992,14E-AM-1008-23,AM,10082018,Adult,Gray,Ground Plane,,False,False,False,False,True,walking,False,False,False,False,False,False,True,False
22,23,-73.9638179439747,40.7924173263904,32A-PM-1013-03,PM,10132018,Juvenile,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False
23,24,-73.9584070974734,40.7913812490557,33F-AM-1008-01,AM,10082018,Adult,Gray,Ground Plane,,False,False,False,False,False,moving slowly,False,False,False,False,False,False,True,False
24,25,-73.96711306801141,40.7784859700171,17F-AM-1007-07,AM,10072018,Adult,Gray,Above Ground,,True,False,False,False,False,,False,False,False,True,False,False,True,False
25,26,-73.9649866016038,40.776492969445705,16I-AM-1008-01,AM,10082018,Adult,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
26,27,-73.9670628558161,40.7734991420941,12I-AM-1013-01,AM,10132018,Adult,Cinnamon,Ground Plane,on tree roots,False,False,False,False,False,sitting,False,False,False,False,True,False,False,True
27,28,-73.958736593111,40.790852437062604,32F-PM-1008-07,PM,10082018,Adult,Gray,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,True,False
28,29,-73.96717867152559,40.7867352791232,25A-AM-1013-04,AM,10132018,,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
29,30,-73.96929432916109,40.776953610248796,15E-AM-1013-01,AM,10132018,Adult,Gray,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,False
30,31,-73.9540054100539,40.795244599983604,39G-PM-1013-06,PM,10132018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False
31,32,-73.9576530157255,40.7868659490397,29I-PM-1007-01,PM,10072018,,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False
32,33,-73.9738033257473,40.7711846894166,7E-AM-1006-02,AM,10062018,Adult,Gray,Ground Plane,under a tree,False,False,False,True,False,,False,False,False,False,False,False,False,False
33,34,-73.9704402681017,40.77989656212029,17C-PM-1013-05,PM,10132018,Adult,Gray,Ground Plane,,False,False,False,True,False,eating (ate upside down on a tree — #jealous),False,False,False,False,False,False,True,False
34,35,-73.97569760767071,40.775389733191794,10A-PM-1014-01,PM,10142018,Adult,Gray,Ground Plane,in b/w trees,False,False,False,False,True,,False,False,False,False,True,False,True,False
35,36,-73.96624389966809,40.7890381809441,28A-PM-1007-05,PM,10072018,Adult,Cinnamon,Ground Plane,,True,False,False,False,True,,False,False,False,False,True,False,False,True
36,37,-73.96431539204279,40.78208185169571,22F-PM-1014-05,PM,10142018,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
37,38,-73.9742073452913,40.7757957380463,12B-AM-1007-01,AM,10072018,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,True,False,False,True,False
38,39,-73.9716147061553,40.7813911036179,18A-PM-1018-01,PM,10182018,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
39,40,-73.9535410657077,40.7928711760061,36H-PM-1008-02,PM,10082018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
40,41,-73.96391592984459,40.789177463798794,29C-AM-1007-06,AM,10072018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
41,42,-73.9579564338627,40.795933779502704,38C-PM-1014-09,PM,10142018,Adult,Black,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,True,False,False
42,43,-73.9574648097543,40.7892508428622,31H-PM-1008-02,PM,10082018,Juvenile,Gray,Above Ground,,True,False,True,False,False,,False,False,False,False,True,False,True,False
43,44,-73.970252675331,40.7705999588222,8H-AM-1017-06,AM,10172018,Adult,Gray,Above Ground,,False,False,False,True,False,,False,False,False,False,False,False,True,False
44,45,-73.9579645940414,40.7918613498407,34F-AM-1007-01,AM,10072018,Adult,Gray,Above Ground,,True,False,True,False,False,,False,False,False,False,False,False,False,True
45,46,-73.9673253417305,40.7749505252981,13H-PM-1010-02,PM,10102018,Adult,Gray,Above Ground,tree,False,False,False,False,True,,False,False,False,False,False,False,True,False
46,47,-73.9640032826529,40.782030982544796,22F-PM-1014-06,PM,10142018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,True,False,True,False
47,48,-73.95959331954091,40.7905847332369,32E-AM-1007-13,AM,10072018,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
48,49,-73.9602222116708,40.793779699421,35C-AM-1007-05,AM,10072018,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
49,50,-73.96806350709491,40.779249873647,17E-AM-1017-05,AM,10172018,Adult,Black,Above Ground,Branch,False,False,False,False,True,,False,False,False,False,False,False,True,False
50,51,-73.9801666435401,40.7686905339212,2B-PM-1013-01,PM,10132018,Adult,Gray,Ground Plane,,True,False,False,False,False,running (with nut),False,False,False,False,False,False,False,False
51,52,-73.9675634326877,40.781347735250705,19D-AM-1007-01,AM,10072018,Juvenile,Gray,Ground Plane,,False,False,True,True,False,,False,False,False,False,False,False,False,False
52,53,-73.95849706432129,40.7982886348696,40B-AM-1019-03,AM,10192018,Juvenile,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,True,True,False,False
53,54,-73.97602982411779,40.7681954366911,3E-PM-1008-07,PM,10082018,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False
54,55,-73.9568802149818,40.7972399133816,39C-PM-1006-01,PM,10062018,Adult,Gray,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,True,False
55,56,-73.97246424363941,40.7690526441109,6G-AM-1008-02,AM,10082018,Juvenile,Gray,Ground Plane,bush,False,False,False,False,True,,False,False,False,False,False,False,True,False
56,57,-73.9690175838534,40.77604327200171,14F-AM-1007-05,AM,10072018,Juvenile,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False
57,58,-73.9704082821356,40.7690280985956,6I-PM-1013-06,PM,10132018,Adult,Gray,Ground Plane,,False,False,False,False,False,playing with #5,False,False,False,False,True,False,False,False
58,59,-73.9684910712272,40.776881164002106,15F-PM-1010-05,PM,10102018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
59,60,-73.9768674812942,40.7735232648872,8B-PM-1012-02,PM,10122018,Adult,Gray,Ground Plane,hiding in bushes,False,False,False,False,True,,False,False,False,False,False,False,False,True
60,61,-73.9797084866613,40.7698885241349,3A-PM-1017-06,PM,10172018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
61,62,-73.952819267977,40.792313040279296,36I-AM-1017-02,AM,10172018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
62,63,-73.9745630038492,40.7692602628745,5E-AM-1008-06,AM,10082018,Adult,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,True,False,False
63,64,-73.95950023395079,40.7903365788694,32E-PM-1017-13,PM,10172018,Adult,Gray,,,False,False,False,True,True,,False,False,False,False,False,False,True,False
64,65,-73.9741824992294,40.7689486657963,5F-PM-1007-03,PM,10072018,Adult,Gray,Ground Plane,,False,False,False,False,False,hiding nut,False,False,False,False,True,False,True,False
65,66,-73.9749243901189,40.7761393551781,11B-PM-1014-05,PM,10142018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
66,67,-73.968381325559,40.7780143443779,16E-PM-1018-06,PM,10182018,Adult,Cinnamon,Ground Plane,On a rock,False,False,False,False,True,,False,False,False,False,True,False,True,False
67,68,-73.96942403275091,40.7755898126674,13F-AM-1007-02,AM,10072018,Adult,Cinnamon,,,False,False,False,True,True,,False,False,False,False,False,False,True,False
68,69,-73.9689000978955,40.7828364735236,20B-PM-1013-10,PM,10132018,Adult,Gray,Ground Plane,,False,False,False,False,True,drank from a pond of rain water,False,False,False,False,False,False,True,False
69,70,-73.9804528867547,40.7696753655986,3A-PM-1017-05,PM,10172018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False
70,71,-73.9576245992455,40.7873862510001,29H-PM-1006-01,PM,10062018,Adult,Gray,Above Ground,,False,False,True,False,False,sitting,False,False,False,False,False,False,True,False
71,72,-73.9666007935638,40.7845098131567,23C-PM-1014-03,PM,10142018,Adult,Gray,Above Ground,,False,False,False,False,False,chasing (#4 across trees),False,False,False,False,False,False,False,False
72,73,-73.96148483609001,40.7922645521905,33C-PM-1007-03,PM,10072018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
73,74,-73.95466541841459,40.7947639241491,38G-PM-1020-09,PM,10202018,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,True,False,False,True,False
74,75,-73.9667114027214,40.7768804702473,16G-PM-1017-01,PM,10172018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
75,76,-73.9530035564643,40.792182245761296,36I-PM-1007-07,PM,10072018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
76,77,-73.9615696577673,40.7951278622399,35A-AM-1014-03,AM,10142018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
77,78,-73.964474836001,40.7883840104749,28C-PM-1006-01,PM,10062018,Adult,Gray,Ground Plane,,False,False,False,False,False,gathering acorns,False,False,False,True,False,False,False,True
78,79,-73.9610705592868,40.7914829661051,32D-AM-1013-06,AM,10132018,Adult,Cinnamon,Ground Plane,,True,False,False,True,True,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity",False,False,False,False,True,True,False,False
79,80,-73.9688454483585,40.78453012881629,22A-AM-1008-05,AM,10082018,Adult,Gray,Above Ground,trash can,False,False,False,True,False,,False,False,False,True,False,False,False,True
